Tin tức,,,,,,
id_tintuc,tieu_de,mo_ta,noi_dung,hinh_anh,ngay_dang,trang_thai
1,thỏ ơi,Phim tâm lý tình cảm gia đình.,Câu chuyện đầy xúc động về tình cha con và những lát cắt cuộc sống bình dị...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/Tintuc/tho-oi.jpg,20/2/2026,Đã xuất bản
2,Báu Vật Trời Cho,Phim hài hành trình đặc sắc.,Cuộc săn tìm báu vật đầy dở khóc dở cười của nhóm bạn trẻ tại vùng quê...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/Tintuc/bau-vat-troi-cho.jpg,25/2/2026,Đã xuất bản
3,Mùi Phở,Tôn vinh ẩm thực truyền thống Việt.,Phim khai thác những góc khuất trong làng nghề phở gia truyền tại Hà Nội...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/Tintuc/mui-pho.jpg,15/2/2026,Đã xuất bản
4,Nhà Ba Tôi Một Phòng,"Phim gia đình, tâm lý xã hội.",Những mâu thuẫn và yêu thương trong căn nhà chật hẹp của gia đình ba thế hệ...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/Tintuc/nha-ba-toi-mot-phong.jpg,20/7/2024,Đã xuất bản
5,Làm Giàu Với Ma,"Phim hài, linh dị của Tuấn Trần.",Một chàng trai tìm cách làm giàu nhờ sự giúp đỡ của một hồn ma nữ...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/Tintuc/lamgiauvoima.jpg,30/08/2024,Đã xuất bản
6,Mưa Đỏ,Phim điện ảnh về chiến tranh lịch sử.,Tái hiện cuộc chiến đấu anh dũng tại thành cổ Quảng Trị mùa hè đỏ lửa...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/Tintuc/muado.jpg,22/12/2024,Đã xuất bản
7,Làng Trùng Tang,Phim kinh dị tâm linh rùng rợn.,Những bí ẩn kinh hoàng về một ngôi làng chịu lời nguyền trùng tang...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Lang-trung-tang.jpg,22/5/2025,Đã xuất bản
8,Bài Trùng Phá Án,"Phim hành động, hình sự kịch tính.",Cuộc đấu trí giữa các thám tử và băng nhóm tội phạm xuyên quốc gia...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Bai-trung-pha-an.jpg,22/4/2024,Đã xuất bản
9,Heo Năm Móng,Phim kinh dị dân gian Việt Nam.,Dựa trên những truyền thuyết về loài vật mang điềm gở trong dân gian...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Heo-5-mong.jpg,30/5/2026,Đã xuất bản
10,Thẩm Mỹ Viện Âm Phủ,Phim kinh dị về sắc đẹp.,Những hậu quả kinh hoàng từ việc can thiệp dao kéo tại một cơ sở bí ẩn...,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Tham-my-vien-am-phu.jpg,14/02/2025,Đã xuất bản
