Phim,,,,,,,,,
id_phim,ten_phim,thoi_luong,ngay_khoi_chieu,poster,hinh_anh,trailer_phim,mo_ta,id_do_tuoi,trang_thai
1,PHÍ PHÔNG: QUỶ MÁU RỪNG THIÊNG (T16),120,4/24/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Phi-thong-Quy-mau-rung-thieng.jpg,,,"Bộ phim được lấy cảm hứng từ truyền thuyết dân gian về loài quỷ huyền bí “Phí Phông” - những người bình thường sống giữa cộng đồng, nhưng mang trong mình đặc tính chuyên hút máu hoặc hút sinh khí người. Hình tượng “Phí Phông” được lưu truyền qua nhiều thế hệ, gắn liền với đời sống tâm linh của cư dân vùng núi cao phía Bắc, gieo rắc nỗi ám ảnh trong ký ức dân gian.",3,Sắp khởi chiếu
2,MỘT BỘ PHIM CỦA LEE CRONIN: XÁC ƯỚP (T18),134,4/14/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Mot-bo-phim-cua-Lee-Cronin-Xac-uop.jpg,,,"Ngay sau sự trở lại và thành công vang dội của bộ phim EVIL DEAD RISE, biên kịch/đạo diễn Lee Cronin tiếp tục khai thác một trong những câu chuyện kinh dị kinh điển nhất mọi thời đại với phiên bản đầy kịch tính: MỘT BỘ PHIM CỦA LEE CRONIN: XÁC ƯỚP. Phim khai thác câu chuyện về cô con gái nhỏ của một nhà báo biến mất không dấu vết trong sa mạc. Tám năm sau, gia đình đã tan vỡ bỗng bàng hoàng khi cô bé trở về, và điều lẽ ra phải là một cuộc hội ngộ hạnh phúc lại biến thành một cơn ác mộng kinh hoàng.",4,Đang chiếu
3,BẪY TIỀN (T16),113,10/4/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Bay-tien-new.jpg,,,"Khi một vụ lừa đảo qua điện thoại bất ngờ ập đến, Đăng Thức tưởng chừng nắm trong tay cuộc sống ổn định bỗng bị cuốn vào vòng xoáy nguy hiểm giữa tiền bạc, tình thân và niềm tin — nơi mỗi lựa chọn không chỉ đánh đổi bằng tiền, mà còn bằng chính những người anh yêu thương.",3,Đang chiếu
4,QUỶ DỮ TỪ LUYỆN NGỤC (T18),102,10/4/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/quy-du-tu-luyen-nguc.jpg,,,"Kingkaew lấy cảm hứng từ vụ án có thật năm 1978, tại nhà tù Bang Kwang khét tiếng. Một người phụ nữ mắc bệnh tâm thần bị buộc tội bắt cóc và sát hại trẻ em gây chấn động. Dù chứng cứ dồn dập, cô vẫn khẳng định “Tôi vô tội”. Cuối cùng, tòa tuyên án tử hình, Kingkaew chết trong oán hận tột cùng. Sau cái chết, hàng loạt hiện tượng kinh hoàng bắt đầu xảy ra. Oan hồn Kingkaew quay lại, gieo rắc nỗi ám ảnh lên tất cả những người liên quan. Khi nỗi sợ dâng cao, họ buộc phải đối mặt với sự thật đen tối phía sau vụ án… và thứ tà ác vẫn chưa chịu ngủ yên.",4,Đang chiếu
5,DƯỚI BÓNG ĐIỆN HẠ (T16),117,10/4/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/duoi-bong-dien-ha.jpg,,,"Lấy mốc năm 1457 dưới triều đại Joseon, Dưới Bóng Điện Hạ khắc họa số phận nghiệt ngã của vua Danjong - vị quân vương thứ sáu của triều đại (Park Ji-hoon thủ vai). Lên ngôi khi tuổi đời còn non trẻ, Danjong nhanh chóng trở thành quân cờ trong vòng xoáy quyền lực tàn khốc. Bị chính người chú lật đổ, phế truất và đày đến vùng Cheongnyeongpo heo hút, cuộc đời của vị vua trẻ rẽ sang một ngã rẽ đầy u uất. Tại chốn lưu đày, ông gặp trưởng làng Eom Heung Do (Yoo Hai-jin thủ vai) - người đã chủ động biến ngôi làng nghèo thành nơi giam giữ nhà vua, đổi lại hy vọng cứu vãn sinh kế cho dân làng. Từ hai thân phận tưởng chừng đối lập, một cựu đế vương và một thường dân, bộ phim dần hé mở mối liên kết lặng lẽ nhưng sâu sắc - nơi lòng trung thành, sự che chở âm thầm và những phận người nhỏ bé cùng trôi dạt giữa cơn sóng lớn của lịch sử.",3,Đang chiếu
6,TRÒ CHƠI CỦA QUỶ 2 (T18),107,10/4/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Tro-choi-cua-quy-2.jpg,,,"Chỉ ít phút sau khi sống sót qua cuộc tấn công từ gia tộc Le Domas, Grace (Samara Weaving) phát hiện mình đã bước sang cấp độ tiếp theo của trò chơi ác mộng - và lần này, cô có người em gái xa cách Faith (Kathryn Newton) đồng hành. Grace chỉ có một cơ hội để sống sót, bảo vệ em gái và giành lấy Vị Trí Tối Cao của Hội Đồng - thế lực kiểm soát cả thế giới. Bốn gia tộc đối địch đang săn lùng cô vì chiếc ngai vàng, và kẻ chiến thắng sẽ nắm quyền lực tuyệt đối.",4,Đang chiếu
7,HẸN EM NGÀY NHẬT THỰC (T16),118,3/4/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Hen-em-ngay-nhat-thuc.jpg,,,"Năm 1995, khi đang đứng trước một quyết định quan trọng của cuộc đời, Ân bất ngờ bị kéo trở lại quá khứ bởi những bức thư tình chưa từng trao tay. Hành trình tìm gặp Thiên - mối tình đầu từng khắc sâu trong tim - đưa cô về lại thôn xóm Trà Mây năm xưa, nơi những ký ức ngọt ngào xen lẫn tổn thương vẫn chưa hề nguôi ngoai. Trong khoảnh khắc định mệnh khi hai người bất ngờ chạm mặt, những bí mật bị che giấu suốt nhiều năm dần hé lộ, buộc Ân phải đối diện với sự thật và lựa chọn con đường cho riêng mình. “Hẹn Em Ngày Nhật Thực” là câu chuyện tình yêu đầy cảm xúc về những điều chưa nói, về tình yêu vĩnh cửu và câu hỏi day dứt: nếu còn cơ hội, ta có dám tin vào trái tim mình một lần nữa?",3,Đang chiếu
8,PHIM SUPER MARIO THIÊN HÀ (P) (LT),99,1/4/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Phim-super-mario-thien-ha.jpg,,,"Phim Super Mario Thiên Hà là một bộ phim hoạt hình được lấy bối cảnh trong thế giới của Anh Em Super Mario và là phần tiếp theo của Phim Anh Em Super Mario – tác phẩm ra mắt năm 2023 và đạt doanh thu hơn 1,3 tỷ đô la trên toàn cầu. Cả hai bộ phim Phim Anh Em Super Mario (2023) và Phim Super Mario Thiên Hà đều do Chris Meledandri (hãng Illumination) và Shigeru Miyamoto (từ Nintendo) đồng sản xuất.",1,Đang chiếu
9,CÚ NHẢY KỲ DIỆU (P) (LT),105,3/20/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/HOPPERS_.jpg,,,"Hoppers xoay quanh Mabel, một cô gái yêu động vật, vô tình tiếp cận công nghệ cho phép chuyển ý thức con người vào cơ thể robot động vật. Nhờ đó, Mabel “nhảy” vào thế giới tự nhiên dưới hình dạng một con hải ly và có thể giao tiếp trực tiếp với các loài khác. Trong hành trình này, cô dần khám phá cách động vật nhìn nhận con người, đồng thời phát hiện những mối nguy đang đe dọa môi trường sống của chúng. Tận dụng công nghệ Nhảy, Mabel đã trở thành cầu nối, mang lại cuộc sống cân bằng cho cả con người và động vật.",1,Đang chiếu
10,HEO NĂM MÓNG,120,4/24/2026 0:00,https://starlight.vn/Areas/Admin/Content/Fileuploads/images/POSTER2026/Heo-5-mong.jpg,,,"Truyền thuyết Cô Năm Hợi được truyền miệng qua nhiều thế hệ, như một lời nhắc về sự tái sinh đầy nghiệt ngã: linh hồn chết oan hoặc mang nhiều nghiệp quả nên mắc kẹt trong thân xác loài vật, mang theo ký ức và oán lệnh chưa thể hóa giải. Và giữa những hoa văn Khmer cổ kính và ánh đỏ linh thiêng, Sa - nữ chính của Heo Năm Móng hiện lên như một linh hồn đang đứng giữa hai cõi, như thể hai số phận đang chồng lên nhau. Liệu Sa còn điều gì vướng mắc ở cõi trần? Hay chính cô là kẻ từng gây nên tội lỗi, để rồi phải gánh chịu nghiệp báo?",4,Sắp khởi chiếu
